ACCE_ABSORB_CHANCE	Absorption rate: %d%%
MAP_A1	Yongan Area
MAP_A2	Valley of Seungryong
MAP_A3	Yayang Area
MAP_AG	Jungrang
MAP_B1	Joan Area
MAP_B2	Valley of Imji
MAP_B3	Bokjung Area
MAP_BATTLEARENA_01	Batalla por el castillo
MAP_BATTLEARENA_02	Batalla por el castillo
MAP_BATTLEARENA_03	Batalla por el castillo
MAP_BATTLE_FIELD	Zona de combate
MAP_BATTLE_ROYALE	Battle Royale
MAP_BAY	Nephrite Bay
MAP_BAYBLACKSAND	Bahía de Nephrit
MAP_BG	Waryong
MAP_BOSS_AWAKEN_DAWNMIST	IM: Bosque Encantado
MAP_BOSS_AWAKEN_FLAME	IM: Fortaleza del Dragón Rojo
MAP_BOSS_AWAKEN_SKIPIA	IM: Gruta del Exilio
MAP_BOSS_AWAKEN_SNOW	IM: Torre de Vigilancia de Nemere
MAP_BOSS_CRACK_DAWNMIST	ET: Bosque Encantado
MAP_BOSS_CRACK_FLAME	ET: Fortaleza del Dragón Rojo
MAP_BOSS_CRACK_SKIPIA	ET: Gruta del Exilio
MAP_BOSS_CRACK_SNOW	ET: Torre de Vigilancia de Nemere
MAP_BOSS_LABYRINTH	Meseta de las Ilusiones
MAP_C1	Pyungmoo Area
MAP_C2	Valley of Bangsan
MAP_C3	Bakra Area
MAP_CAPE	Cape Dragon Fire
MAP_CAPEDRAGONHEAD	Cabo del Dragón de Fuego
MAP_CG	Imha
MAP_CZ_DUNGEON	Templo del zodíaco
MAP_DAWN	Acantilado de Gautama
MAP_DAWNMISTWOOD	Acantilado de Gautama
MAP_DAWNMIST_DUNGEON_01	Bosque Encantado
MAP_DEFENSE_WAVE	Defensa de la nave
MAP_DEFENSE_WAVE_PORT	Puerto
MAP_DESERT	Yongbi Desert
MAP_DEVILCATACOMB	Catacumba del Diablo
MAP_DEVILTOWER1	Demon Tower
MAP_DEVILTOWER2	Shadow Tower
MAP_DEVILCATACOMB	Devil's Catacomb
MAP_DUEL	Training Fight Arena
MAP_E	Colonia
MAP_EASTPLAIN_01	Llanura Dongan
MAP_EASTPLAIN_02	Yermo Seogan
MAP_EASTPLAIN_03	Abismo Namgan
MAP_ELEMENTAL_DUNGEON	Mundo Elemental
MAP_ELEMENTAL_DUNGEON_DARK	Mundo Elemental (Oscuridad)
MAP_ELEMENTAL_DUNGEON_ELECTRICITY	Mundo Elemental (Relámpago)
MAP_ELEMENTAL_DUNGEON_FIRE	Mundo Elemental (Fuego)
MAP_EMPIRECASTLE	Fortaleza Retirada
MAP_EMPIREWAR01	Batalla por el castillo
MAP_EMPIREWAR02	Batalla por el castillo
MAP_EMPIREWAR03	Batalla por el castillo
MAP_FARMING_DUNGEON	Mazmorra Misteriosa
MAP_FLAME	Doyyumhwan
MAP_GOLDEN_LAND	Tierra Dorada - Acceso
MAP_GOLDEN_LAND_STAGE	Tierra Dorada
MAP_GUILD_01	Jungrang
MAP_GUILD_02	Waryong
MAP_GUILD_03	Imha
MAP_GUILD_BATTLE	Zona de Batalla Gremial
MAP_GUILD_BATTLE_AREA	Zona de Batalla Gremial
MAP_GUILD_BATTLE_BASE	Avanzadilla gremial
MAP_GUILD_BATTLE_OUTPOST	Avanzadilla gremial
MAP_GUILD_PVE	Palacio del Rey de los Dragones
MAP_HOLYPLACE_DESERT	Batalla de Reinos - Tierra del desierto
MAP_HOLYPLACE_FLAME	Batalla de Reinos - Tierra de Fuego
MAP_HOLYPLACE_ICE	Batalla de Reinos - Tierra de hielo
MAP_ICE_CRYSTALS_CAVE	Garganta Tramontana
MAP_INDEX_GUILD_WHITE_DRAGON	Cripta de Balathor
MAP_MAZE_DUNGEON_01	Cuevas Gnoll, Nivel 1
MAP_MAZE_DUNGEON_02	Cuevas Gnoll, Nivel 2
MAP_MAZE_DUNGEON_03	Cuevas Gnoll, Nivel 3
MAP_MILGYO	Templo Hwang
MAP_MILGYO_A	
MAP_MINIBOSS_01	Mazmorra azul: nv. 40-80
MAP_MINIBOSS_02	Mazmorra roja: a partir de nv. 81
MAP_MISTS_OF_ISLAND	Islas de la Niebla
MAP_MONKEY_DUNGEON	Hasun Dong
MAP_MONKEY_DUNGEON2	Jungsun Dong
MAP_MONKEY_DUNGEON3	Sangsun Dong
MAP_MONKEY_DUNGEON_11	Hasun Dong
MAP_MONKEY_DUNGEON_12	Hasun Dong
MAP_MONKEY_DUNGEON_13	Hasun Dong
MAP_MT_THUNDER	Montañas Trueno
MAP_MT_TH_DUNGEON_01	Templo de los Ochao
MAP_NUSLUCK	Tierra de Gigantes
MAP_NUSLUCK01	Tierra de Gigantes
MAP_N_DESERT_01	Desierto Yongbi
MAP_N_DESERT_02	
MAP_N_FLAME_01	Tierra de Fuego
MAP_N_FLAME_02	
MAP_N_FLAME_DRAGON	Refugio de Meley
MAP_N_FLAME_DUNGEON_01	Fortaleza del Dragón Rojo
MAP_N_SNOWM_01	Monte Sohan
MAP_N_SNOWM_02	
MAP_N_SNOW_DUNGEON_01	Torre de vigilancia de Nemere
MAP_N_THREEWAY	Valle de Seungryong
MAP_OTHER_WORLD_01	Salvación
MAP_OTHER_WORLD_02	Otro Mundo
MAP_OTHER_WORLD_03	Sala de las Pruebas
MAP_OTHER_WORLD_04	Condena
MAP_OXEVENT	Competición OX
MAP_PATHWAY_DESERT_01	Batalla de Reinos - Tierra del desierto
MAP_PATHWAY_DESERT_02	Batalla de Reinos - Tierra del desierto
MAP_PATHWAY_DESERT_03	Batalla de Reinos - Tierra del desierto
MAP_PATHWAY_FLAME_01	Batalla de Reinos - Tierra de Fuego
MAP_PATHWAY_FLAME_02	Batalla de Reinos - Tierra de Fuego
MAP_PATHWAY_FLAME_03	Batalla de Reinos - Tierra de Fuego
MAP_PATHWAY_ICE_01	Batalla de Reinos - Tierra de hielo
MAP_PATHWAY_ICE_02	Parque
MAP_PATHWAY_ICE_03	Batalla de Reinos - Tierra de hielo
MAP_PRIVATE_SHOP_MAP	Bazar
MAP_PVP_ARENA	Arena JcJ
MAP_SECRET_DUNGEON	Templo Enigma
MAP_SKELTOWER	Torre Gumsan
MAP_SKIPIA_DUNGEON_01	La Gruta del Exilio
MAP_SKIPIA_DUNGEON_011	
MAP_SKIPIA_DUNGEON_012	
MAP_SKIPIA_DUNGEON_013	
MAP_SKIPIA_DUNGEON_02	La Gruta del Exilio 2
MAP_SKIPIA_DUNGEON_021	
MAP_SKIPIA_DUNGEON_022	
MAP_SKIPIA_DUNGEON_023	
MAP_SKIPIA_DUNGEON_BOSS	Templo del Dragón
MAP_SKIPIA_DUNGEON_BOSS_1	Mazmorra de Arañas 1
MAP_SKIPIA_DUNGEON_BOSS_2	Mazmorra de Arañas 2
MAP_SKIPIA_DUNGEON_BOSS_3	Mazmorra de Arañas 3
MAP_SNAKE_TEMPLE_1	Nivel 1 del Templo Serpentino
MAP_SNAKE_TEMPLE_2	Templo Serpentino
MAP_SNAKE_VALLEY	Pase de Yilad
MAP_SNOW	Monte Sohan
MAP_SPIDER	Kuahlo Dong
MAP_SPIDERDUNGEON	Mazmorra de Arañas 1
MAP_SPIDERDUNGEON_02	Mazmorra de Arañas 2
MAP_SPIDERDUNGEON_02_1	Mazmorra de Arañas 2
MAP_SPIDERDUNGEON_03	Mazmorra de Arañas 3
MAP_SKIPIA_DUNGEON_01	Grotto of Exile
MAP_SKIPIA_DUNGEON_02	Grotto of Exile 2
MAP_SKIPIA_DUNGEON_01_02	Grotto of Exile 1 & 2
MAP_SKIPIA_DUNGEON_BOSS	Dragon's Temple
MAP_SUNGMAHEE_GATE_A1	Área Yongan (Invasión SungMa)
MAP_SUNGMAHEE_GATE_B1	Área Joan (Invasión SungMa)
MAP_SUNGMAHEE_GATE_C1	Área Pyungmoo (Invasión SungMa)
MAP_SUNGMAHEE_GATE_DAWNMIST	Bosque Encantado (Invasión SungMa)
MAP_SUNGMAHEE_GATE_DESERT	Desierto Yongbi (Invasión SungMa)
MAP_SUNGMAHEE_GATE_DEVILS	Catacumba del Diablo (Invasión SungMa)
MAP_SUNGMAHEE_GATE_FLAME	Doyyumhwan (Invasión SungMa)
MAP_SUNGMAHEE_GATE_SNOW	Monte Sohan (Invasión SungMa)
MAP_SUNGMAHEE_GATE_THREEWAY	Valle de Seungryong (Invasión SungMa)
MAP_SUNGMAHEE_TOWER_DUNGEON	Torre Infernal de Sung Mahi
MAP_SUNGMAHEE_TOWER_WAIT	Entrada
MAP_SUNGZI	Batalla de Reinos
MAP_SUNGZI_DESERT_01	Batalla de Reinos - Tierra del desierto
MAP_SUNGZI_DESERT_HILL_01	Batalla de Reinos - Tierra del desierto
MAP_SUNGZI_DESERT_HILL_02	Batalla de Reinos - Tierra del desierto
MAP_SUNGZI_DESERT_HILL_03	Batalla de Reinos - Tierra del desierto
MAP_SUNGZI_FLAME_HILL_01	Batalla de Reinos - Tierra de Fuego
MAP_SUNGZI_FLAME_HILL_02	Batalla de Reinos - Tierra de Fuego
MAP_SUNGZI_FLAME_HILL_03	Batalla de Reinos - Tierra de Fuego
MAP_SUNGZI_SNOW	Batalla de Reinos - Tierra de hielo
MAP_SUNGZI_SNOW_PASS01	Batalla de Reinos - Tierra de hielo
MAP_SUNGZI_SNOW_PASS02	Batalla de Reinos - Tierra de hielo
MAP_SUNGZI_SNOW_PASS03	Batalla de Reinos - Tierra de hielo
MAP_T1	Terrenos de la Guerra de gremios
MAP_T2	Terrenos de la Guerra de gremios
MAP_T3	Terrenos de la Guerra de gremios
MAP_T4	Terrenos de la Guerra de gremios
MAP_TEMPLE	Templo Hwang
MAP_THUNDER	Montañas TruenoMAP_TEMPLE	Templo Hwang
MAP_THUNDER	Montañas Trueno
MAP_TREASURE_ISLAND	Isla de los Tesoros
MAP_TRADE	Bazaar
MAP_TREE	Lungsam (Bosque fantasma)
MAP_TRENT	Bosque Fantasma
MAP_TRENT02	Bosque Rojo
MAP_TRENT02_A	Bosque Rojo
MAP_TRENT_A	
MAP_WEAKENDED_MYSTERY_DUNGEON	Eco misterioso
MAP_WEDDING_01	Mapa de bodas
MAP_WHITE_DRAGON_CAVE_01	Caverna Tramontana
MAP_WHITE_DRAGON_CAVE_02	Bajada Tramontana
MAP_WHITE_DRAGON_CAVE_BOSS	Profundidades Tramontanas
MAP_WHITE_DRAGON_VALLEY	Barranco de Almas
MAP_WL	Campo Serpiente
MAP_WL_01	Campo Serpiente
MC_ACCUMULATION_COUNT	Cartas de monstruo reunidas: %d
MC_ACHIEV_NAME	%s (%d)
MC_ACHIEV_REGIST_ABLE	Cumples los requisitos para el logro %s (%d estrellas).
MC_ACHIEV_REGIST_FAIL	Ahora mismo no puedes reclamar logros.
MC_ACHIEV_REGIST_FAIL_CHECK_COUNT	No puedes reclamar el logro. Cierra la ventana e inténtalo de nuevo.
MC_ACHIEV_REGIST_QUESTION_1	¿Quieres reclamar el logro %s? Necesitas %d cartas de los monstruos correspondientes.
MC_ACHIEV_REGIST_QUESTION_2	Se trata de una elección irreversible. ¿Deseas continuar?
MC_ACHIEV_SHOW_APPLYS	Mostrar estado
MC_ACHIEV_SHOW_MONSTER	Mostrar imagen
MC_ALTER_TEXT	Nivel de misión %d
MC_CARD_FALL_SHORT	Las cartas registradas no son suficientes.
MC_CARD_SHUFFLE	¿Quieres reorganizar las cartas?
MC_INIT_ITEM_FALL_SHORT	Necesitas %d Carta/s del nuevo comienzo.
MC_MISSION_FAIL_MSG	No hay misiones activas o se sobrepasó el límite.
MC_MISSION_INIT	¿Quieres restablecer la misión al nivel 1?
MC_MISSION_NO_CLEAR	Primero tienes que completar la misión.
MC_MOTION_BUTTON_OVER_MSG	Esta opción está disponible a partir de la 2.ª estrella.
MC_POLY_BUTTON_OVER_MSG	Esta opción está disponible a partir de la 3.ª estrella.
MC_POLY_FAIL	Ahora no puedes transformarte.
MC_POLY_QUESTION	¿Quieres convertirte en este monstruo?
MC_PROMOTION_MAX	Ya no se puede mejorar.
MC_PROMOTION_QUESTION	¿Quieres aumentar el nivel?
MC_QUESTION_BUTTON_DESC1	Solo se puede restablecer 6 veces en 24 horas.
MC_QUESTION_BUTTON_DESC2	Cada restablecimiento necesita más Cartas del nuevo comienzo.
MC_QUESTION_BUTTON_DESC3	Haz clic aquí para ver el tiempo de carga restante.
MC_REWARD_FAIL	No tienes suficiente espacio en el inventario.
MC_REWARD_MISSION	¿Quieres recibir tu carta de monstruo ahora?
MC_SHUFFLE_NO_ITEM	No tienes ninguna Carta del nuevo orden.
MC_TIME	Tiempo de carga: %s
MC_TRADE_QUESTION	Se te retirarán %d cartas. ¿Deseas continuar?
MC_USE_ITEM_FAIL	No se puede añadir esta carta.
MC_USE_ITEM_QUESTION	¿Quieres añadir esta Carta de monstruo?
MC_WARP_BUTTON_OVER_MSG	Esta opción está disponible a partir de la 4.ª estrella.
MC_WARP_FAIL	Ya no te puedes teletransportar.
MC_WARP_LIMIT_LEVEL	No tienes nivel suficiente para teletransportarte.
MC_WARP_QUESTION	¿Quieres teletransportarte al área de este monstruo?
MD_POPUP_MSG_1	Solo se puede entrar desde el Templo del Zodíaco.
MD_POPUP_MSG_2	Los guardianes del zodiaco necesitan regenerar su poder.\nDales algo de tiempo.
MD_SYSTEM_MSG_1	No eres un zombi. No puedes luchar mientras estés fuera de combate.
MEDAL_OF_HONOR	Medalla del valor
MEDAL_OF_HONOR_SYSTEM_PICK	Objeto recibido: Medalla del valor (%d)
MERCENARY_ADD_REWARD	Posibilidad bonificación extra + %.1f%%
MERCENARY_CHAT_AUTO_DISPATCH_FAIL	No tienes ningún mercenario que pueda llevar a cabo esta misión.
MERCENARY_CHAT_DISPATCH	Contratado: %s
MERCENARY_CHAT_DISPATCH_JOIN_WARNING	Has seleccionado a un mercenario sin la cualificación necesaria.
MERCENARY_CHAT_DISPATCH_MAX_COUNT	Has seleccionado demasiados mercenarios.
MERCENARY_CHAT_DISPATCH_NOT_ENOUGHT_ACTIVE	No tienes suficiente resistencia.
MERCENARY_CHAT_DISPATCH_SELECT_MERCENARY	Tienes que seleccionar a un mercenario.
MERCENARY_CHAT_DISPATCH_SELECT_MISSION	No se ha seleccionado ninguna misión
MERCENARY_CHAT_DONT_CLEAR_QUEST	Aún no has completado los requisitos de la misión.
MERCENARY_CHAT_DRAIN_MAIN_EXP_MERCENARY	Este mercenario solo puede utilizarse para entrenar a otros.
MERCENARY_CHAT_DRAIN_MAX_LEVEL	Este mercenario ya ha alcanzado el nivel máximo.
MERCENARY_CHAT_DRAIN_MERCENARY_REGISTER	Selecciona al mercenario al que deseas entrenar y a los que deberían utilizarse para el entrenamiento.
MERCENARY_CHAT_DRAIN_NEED_MAIN	Seleccionar mercenario en entrenamiento
MERCENARY_CHAT_DRAIN_SUB_MAX_COUNT	Puedes registrar a un máximo de 10 mercenarios
MERCENARY_CHAT_EXIST_COMPLETE_MISSION	[Mercenario] Tienes más misiones completadas.
MERCENARY_CHAT_GIVEUP	Se han cancelado %s misiones
MERCENARY_CHAT_MAIN_DRAIN_MERCENARY_WARNING	Uno de los mercenarios seleccionados está herido.
MERCENARY_CHAT_MAX_ACTIVE_INCREASE_FOR_LEVELUP	Se ha ampliado tu resistencia al haber ascendido a un nivel de campeón.
MERCENARY_CHAT_MAX_EXPAND_SLOT	Ya tienes la cantidad máxima de casillas.
MERCENARY_CHAT_MAX_MERCENARY_EMPLOY	Ya no puedes reclutar a más mercenarios.
MERCENARY_CHAT_MAX_YANG	No puedes ver los resultados cuando tienes más de 2 mil millones de Yang.
MERCENARY_CHAT_MERCENARY_ADD_DONE	Se ha contratado a %s.
MERCENARY_CHAT_MERCENARY_CURE_DONE	Se ha curado a %s.
MERCENARY_CHAT_MERCENARY_DRAIN_DONE	%s ha alcanzado el nivel %d.
MERCENARY_CHAT_MERCENARY_FIRE_DONE	Se ha expulsado a %s.
MERCENARY_CHAT_MERCENARY_NO_MORE_REGIST	No puedes utilizar a más mercenarios para el entrenamiento.
MERCENARY_CHAT_MERCENARY_SKILL_ADD_DONE	Has contratado a %s con la habilidad %s.
MERCENARY_CHAT_MERCENARY_SLOT_EXPAND	Se han ampliado las casillas de mercenarios.
MERCENARY_CHAT_MISSION_ACTIVE_GAIN	Obtienes %d de resistencia. Resistencia total: %d
MERCENARY_CHAT_MISSION_COMPLETE_NOTICE	[Mercenario] Tienes más misiones completadas.
MERCENARY_CHAT_MISSION_REFRESH_FAIL_STATE_COMPLETE	No puedes hacerlo ya que tienes misiones completadas.
MERCENARY_CHAT_MISSION_REFRESH_FAIL_STATE_RUN	No puedes hacerlo ya que tienes mercenarios enviados.
MERCENARY_CHAT_NOT_ENOUGHT_CONQUEROR_LEVEL	Solo está disponible para jugadores de nivel de campeón.
MERCENARY_CHAT_NOT_ENOUGHT_EXPAND_ITEM	Todavía necesitas %d licencias de ampliación más.
MERCENARY_CHAT_NOT_ENOUGHT_INVENTORY	Tu inventario está lleno.
MERCENARY_CHAT_NOT_ENOUGHT_YANG	Faltan %s Yang.
MERCENARY_CHAT_OVER_MAX_ACTIVE	No puedes utilizarlo ya que has alcanzado la resistencia máxima permitida.
MERCENARY_CHAT_SPECIFICITY_GAIN	Recibido %s%s
MERCENARY_CHAT_SUB_DRAIN_MERCENARY_WARNING	Se ha seleccionado un mercenario enviado o herido.
MERCENARY_CHAT_TIME_CURE_START	Iniciar curación con %s.
MERCENARY_CONQUEROR_EXP_BONUS	EXP de campeón: %.1f%%
MERCENARY_CURE_ALREADY	Este mercenario ya se está curando.
MERCENARY_CURE_DELAY_ASK	¿Quieres aplicar una curación constante a %s?
MERCENARY_CURE_DELAY_NEED_ITEM	Necesitas una Cura mercenario constante.
MERCENARY_CURE_DONE	Este mercenario ya se ha curado.
MERCENARY_CURE_IMMEDIATELY_ASK	¿Quieres aplicar una curación instantánea a %s?
MERCENARY_CURE_IMMEDIATELY_NEED_ITEM	Necesitas una Cura mercenario instantánea.
MERCENARY_CURE_NOT_INJURY	Este mercenario no está herido.
MERCENARY_CURE_WILL_DONE	No puedes curar a un mercenario que ya se esté curando de forma constante.
MERCENARY_DECREASE_INJURY_PCT	Riesgo de daños - %.1f%%
MERCENARY_DECREASE_TIME	Tiempo de misión - %.1f%%
MERCENARY_EXP	Puntos de experiencia de mercenario:
MERCENARY_EXP_MAX	Máximo
MERCENARY_FIRA_DISPATCH	No puedes expulsar a mercenarios enviados.
MERCENARY_FIRE_ASK	¿Quieres expulsar a %s? No puedes volver a reclutar a mercenarios expulsados.
MERCENARY_INCREASE_SUCCESS_PCT	Posibilidad de éxito + %.1f%%
MERCENARY_INJURY_DANGER_BENEFITS	Riesgo de daños + %.1f%%
MERCENARY_LEVEL	Nivel: %d
MERCENARY_LOCK_SLOT_INFO	Puedes aumentar las casillas de mercenario mediante licencias de ampliación.
MERCENARY_MISSION	Misión
MERCENARY_MISSION_BUTTON_GIVEUP	Abandonar
MERCENARY_MISSION_BUTTON_RESULT	Resultados
MERCENARY_MISSION_BUTTON_START	Iniciar la Misión
MERCENARY_MISSION_MAP_DAWNMIST	Bosque Encantado
MERCENARY_MISSION_MAP_DESERT	Desierto Yongbi
MERCENARY_MISSION_MAP_DEVILCATACOMB	Catacumba del Diablo
MERCENARY_MISSION_MAP_DEVILTOWER	Torre Demoníaca
MERCENARY_MISSION_MAP_EASTPLAIN	Llanura Dongan
MERCENARY_MISSION_MAP_FLAME	Refugio de Meley
MERCENARY_MISSION_MAP_MAZE	Cuevas Gnoll
MERCENARY_MISSION_MAP_MILLGYO	Templo Hwang
MERCENARY_MISSION_MAP_NONE	Ninguno
MERCENARY_MISSION_MAP_SKIPIA	Gruta del Exilio
MERCENARY_MISSION_MAP_SNAKETEMPLE	Templo Serpentino
MERCENARY_MISSION_MAP_SNAKEVALLEY	Pase de Yilad
MERCENARY_MISSION_MAP_SNOW	Torre de vigilancia de Nemere
MERCENARY_MISSION_MAP_SPIDER	Kuahlo Dong (Mazmorra de Arañas)
MERCENARY_MISSION_MAP_THREE	Valle de Seungryong
MERCENARY_MISSION_MAP_WHITECAVE	Caverna Tramontana
MERCENARY_MISSION_NAME_PUNITIVE_DESTROY	Destrucción
MERCENARY_MISSION_NAME_PUNITIVE_EXPLORE	Exploración
MERCENARY_MISSION_NAME_PUNITIVE_LOW	Conquista (fácil)
MERCENARY_MISSION_NAME_PUNITIVE_NONE	Ninguno
MERCENARY_MISSION_NAME_PUNITIVE_UPPER	Conquista (difícil)
MERCENARY_MISSION_REFRESH_FAIL_MERCENARY	No se puede ejecutar la actualización cuando no hay mercenarios disponibles.
MERCENARY_MISSION_STATE_COMPLETE_1	%s%s completada.
MERCENARY_MISSION_STATE_COMPLETE_2	Selecciona "Resultados"
MERCENARY_MISSION_STATE_END	Misión completa
MERCENARY_MISSION_STATE_GIVEUP	No puedes intentar de nuevo una misión abandonada.
MERCENARY_MISSION_STATE_NONE	Puedes iniciar la misión.
MERCENARY_MISSION_STATE_RUN	Se está ejecutando %s %s.
MERCENARY_NAME_COLLECTOR	Recolector
MERCENARY_NAME_EXP	Profesor
MERCENARY_NAME_LUCKY	Suertudo
MERCENARY_NAME_NIMBLE	Ingenioso
MERCENARY_NAME_NORMAL	Normal
MERCENARY_NAME_STRONG	Fortachón
MERCENARY_NAME_TRAINED	Experimentado
MERCENARY_NONE	Ninguno
MERCENARY_POPUP_DISPATCH_DONT_USING_ITEM	¿Quieres iniciar la misión sin reducir la resistencia necesaria?
MERCENARY_POPUP_DISPATCH_START	¿Quieres iniciar la misión?
MERCENARY_POPUP_DISPATCH_USING_ITEM	¿Quieres reducir la resistencia necesaria para esta misión?
MERCENARY_POPUP_DRAIN_ASK	El mercenario en entrenamiento quiere abandonar su puesto y a ti. ¿Deseas continuar?
MERCENARY_POPUP_DRAIN_ASK_EXP	Se perderá la experiencia del mercenario en entrenamiento. ¿Deseas continuar?
MERCENARY_POPUP_DRAIN_DEL_LEFT_EXP	Se perderá la experiencia restante.
MERCENARY_POPUP_DRAIN_NEED_SUB	Selecciona al mercenario que debe entrenar.
MERCENARY_POPUP_DRAIN_SUB_LEVEL_WARNING	Has seleccionado a un mercenario con un nivel superior. ¿Deseas continuar?
MERCENARY_POPUP_EMPLOY_ASK_1	¿Quieres contratar a un mercenario?
MERCENARY_POPUP_EMPLOY_ASK_2	Necesitas una Licencia de mercenario y %s Yang.
MERCENARY_POPUP_EXPAND_SLOT_QUESTION	¿Quieres aumentar las casillas de mercenario? Necesitas %d.
MERCENARY_POPUP_MISSION_FAIL	¡Misión %s fallida!
MERCENARY_POPUP_MISSION_GIVEUP_1	¿Quieres cancelar la misión?
MERCENARY_POPUP_MISSION_GIVEUP_2	No puedes intentar de nuevo una misión cancelada.
MERCENARY_POPUP_MISSION_MERCENARY_INJURE	Tienes a uno o más mercenarios heridos.
MERCENARY_POPUP_MISSION_REFRESH	Se han actualizado todas las misiones. ¿Deseas continuar?
MERCENARY_POPUP_MISSION_RESULT	¿Quieres ver el resultado de la misión completada?
MERCENARY_POPUP_MISSION_RESULT_DONT_USING_ITEM	¿Quieres ver tus resultados sin utilizar la Esencia del comandante de la legión?
MERCENARY_POPUP_MISSION_RESULT_USING_ITEM	¿Quieres utilizar la Esencia del comandante de la legión para obtener recompensas adicionales?\nNo se pierde si los mercenarios no completan la misión.
MERCENARY_POPUP_MISSION_REWARD_EXP	Has reunido EXP de campeón: %s
MERCENARY_POPUP_MISSION_REWARD_YANG	Has recibido %s Yang.
MERCENARY_POPUP_MISSION_SUCCESS	¡Misión %s completada con éxito!
MERCENARY_POPUP_MISSION_USE_ITEM	Has obtenido una recompensa adicional gracias a la Esencia del comandante de la legión.
MERCENARY_SKILL	Habilidades: %s
MERCENARY_SKILL_CONQUEROR_EXP_BONUS	EXP nv. de campeón extra
MERCENARY_SKILL_DECREASE_INJURY_PCT	Reduce el riesgo de daños
MERCENARY_SKILL_DECREASE_TIME	Reduce el tiempo de misión.
MERCENARY_SKILL_INCREASE_SUCCESS_PCT	Aumenta la Posibilidad de éxito.
MERCENARY_SKILL_INJURY_DANGER_BENEFITS	Ventaja arriesgada
MERCENARY_SKILL_UNIQUE	Único
MERCENARY_SPECIFICITY	Especialización: %s
MERCENARY_SPECIFICITY_COLLECTOR	Recolector
MERCENARY_SPECIFICITY_EXPLAIN_GAIN	El mercenario podrá obtener una especialización con un 50%% de probabilidad cuando alcance el nivel %d.
MERCENARY_SPECIFICITY_EXPLAIN_UP	Cuando alcances el nivel %d, podrás obtener un %s con un 50%% de probabilidad.
MERCENARY_SPECIFICITY_FIGHTER	Guerrero
MERCENARY_SPECIFICITY_GRADE_LOWER	(bajo)
MERCENARY_SPECIFICITY_GRADE_MIDDLE	(medio)
MERCENARY_SPECIFICITY_GRADE_UPPER	(alto)
MERCENARY_SPECIFICITY_LUCKY	Afortunado
MERCENARY_SPECIFICITY_NONE	Ninguno
MERCENARY_SPECIFICITY_RESCUE	Salvador
MERCENARY_SPECIFICITY_SPY	Espía
MERCENARY_TOOLTIP_CLOSE	Cerrar
MERCENARY_TOOLTIP_DISPATCH	Enviado
MERCENARY_TOOLTIP_INJURE	Herido
MERCENARY_TOOLTIP_MANAGE	Administrar mercenarios
MERCENARY_TOOLTIP_MISSION	Lista de misiones
MERCENARY_TOOLTIP_MISSION_COMPLETE	Completar
MERCENARY_TOOLTIP_MISSION_DISPATCH	Enviado
MERCENARY_TOOLTIP_MISSION_END	Finalizar
MERCENARY_TOOLTIP_MISSION_GIVEUP	Cancelar
MERCENARY_TOOLTIP_MISSION_LOCKSLOT_1	Tu nivel de campeón debe estar por encima de %d para obtenerlo.
MERCENARY_TOOLTIP_MISSION_LOCKSLOT_2	Cuanto más alto sea tu nivel, mejores serán las recompensas que podrás obtener en las misiones.
MERCENARY_TOOLTIP_MISSION_REFRESH	Repetir misión
MERCENARY_TOOLTIP_MISSION_WAIT	Disponible
MERCENARY_TOOLTIP_POSSIBLE_MERCENARY	Mercenarios disponibles
MERCENARY_UNDER_TREATMENT	El mercenario se curará. (Queda: %02d h %02d min).
MERCENARY_UNIQUE_1	Posibilidad de éxito + %.1f%%
MERCENARY_UNIQUE_2	Posibilidad de éxito + %.1f%%
MESSENGER_ADD_FRIEND_ANSWER_TIMEOVER	The friend request has been canceled.
MESSAGE_CANNOT_USE_BEAD_ITEM	No puedes utilizar este objeto.
MESSENGER_ADD_BLOCK_FRIEND	Añadir
MESSENGER_ADD_FRIEND	Añadir Amigo
MESSENGER_ADD_BLOCK_FRIEND	Block friend
MESSENGER_BLOCK	Bloqueado
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	%s te añadió como amigo.
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	¿Aceptar?
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND	%s wants you to be friends, do you accept?
MESSENGER_DO_YOU_DELETE	¿Borrar?
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	¿Deseas borrar el número de teléfono movil?
MESSENGER_DO_YOU_MOVE	¿Deseas continuar?
MESSENGER_EMPTY_LIST	Vacío
MESSENGER_FAMILY	Familia
MESSENGER_FRIEND	Amigos
MESSENGER_GUILD	Gremio
MESSENGER_TEAM	Team
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	Introducir el código de confirmación que fue enviado a tu teléfono móvil.
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	Intruducir número de confirmación
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	Introducir el número de teléfono móvil para el envío del mensaje de texto.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	¿Deseas introducir el número ahora?
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	Introducir número de móvil.
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	Enviar mensaje.
METIN_TEST	
