ACCEPT	Tamam
EXTENDED_BATTLE_PASS_TYPENAME_9_DESC_1	Bu görevi tamamlamak için %sx %s bir üst seviyeye yükselt.
EXTENDED_BATTLE_PASS_TYPENAME_9_DESC_2	Bu görevi tamamlamak için %s bir üst seviyeye yükselt.
EXTENDED_BATTLE_PASS_TYPENAME_10	%s Tut
EXTENDED_BATTLE_PASS_TYPENAME_10_DESC_1	Bu görevi tamamlamak için sudan %sx %s çýkar.
EXTENDED_BATTLE_PASS_TYPENAME_10_DESC_2	Bu görevi tamamlamak için herhangi bir balýðý %s kez çýkar.
EXTENDED_BATTLE_PASS_TYPENAME_11	%s Piþir
EXTENDED_BATTLE_PASS_TYPENAME_11_DESC_1	Bu görevi tamamlamak için kamp ateþinde %sx %s piþir.
EXTENDED_BATTLE_PASS_TYPENAME_11_DESC_2	Bu görevi tamamlamak için kamp ateþinde herhangi bir balýðý %s kez piþir.
EXTENDED_BATTLE_PASS_TYPENAME_12	%s Öldür
EXTENDED_BATTLE_PASS_TYPENAME_12_DESC_1	Bu görevi tamamlamak için %sx %s öldür.
EXTENDED_BATTLE_PASS_TYPENAME_12_DESC_2	Bu görevi tamamlamak için herhangi bir balýðý %s kez öldür.
EXTENDED_BATTLE_PASS_TYPENAME_13	%s Yang Topla
EXTENDED_BATTLE_PASS_TYPENAME_13_DESC_1	Bu görevi tamamlamak için %s bölgesindeki yaratýklardan %s Yang topla.
EXTENDED_BATTLE_PASS_TYPENAME_13_DESC_2	Bu görevi tamamlamak için yaratýklardan %s Yang topla.
EXTENDED_BATTLE_PASS_TYPENAME_14	Lonca Savaþý Oyna
EXTENDED_BATTLE_PASS_TYPENAME_14_DESC_1	%s türünden %sx Lonca Savaþý tamamla.
EXTENDED_BATTLE_PASS_TYPENAME_14_DESC_2	%sx Lonca Savaþý tamamla.
EXTENDED_BATTLE_PASS_TYPENAME_15	%s
EXTENDED_BATTLE_PASS_TYPENAME_15_DESC_1	%s: Bu görevi tamamlamak için bu zindaný %s kez bitir.
EXTENDED_BATTLE_PASS_TYPENAME_15_DESC_2	Bu görevi tamamlamak için herhangi bir zindaný %s kez bitir.
EXTENDED_BATTLE_PASS_MAP_NAME_BY_IDX_64	Seungryong Vadisi
EXTENDED_BATTLE_PASS_MAP_NAME_BY_IDX_65	Hwang Tapýnaðý
EXTENDED_BATTLE_PASS_MAP_NAME_BY_IDX_72	Sürgün Maðarasý
EXTENDED_BATTLE_PASS_GUILDWAR_TYPE_NAME_1	Açýk Alan
EXTENDED_BATTLE_PASS_GUILDWAR_TYPE_NAME_2	Arena
EXTENDED_BATTLE_PASS_GUILDWAR_TYPE_NAME_3	Bayrak
EXTENDED_BATTLE_PASS_DUNGEON_NAME_1	Þeytan Kulesi
EXTENDED_BATTLE_PASS_DUNGEON_NAME_2	Ejderha Tapýnaðý
EXTENDED_BATTLE_PASS_DUNGEON_NAME_3	Þeytan Katakombu
EXTENDED_BATTLE_PASS_DUNGEON_NAME_4	Örümcek Zindaný 3
HUNTING_SYSTEM_AMOUNT	Miktar
HUNTING_SYSTEM_AMOUNT_TEXT	%d / %d
HUNTING_SYSTEM_BUTTON_MINI_UI_ON	Mini Arayüzü Göster
HUNTING_SYSTEM_BUTTON_MINI_UI_OFF	Mini Arayüzü Gizle
HUNTING_SYSTEM_BUTTON_REWARD_COLLECT	Ödülü topla
HUNTING_SYSTEM_BUTTON_REWARD_CLOSE	Bu pencereyi kapatmak için önce ödülünüzü açmanýz gerekir.
HUNTING_SYSTEM_BUTTON_REWARD_OPEN	Aç
HUNTING_SYSTEM_BUTTON_SELECT	Seç
HUNTING_SYSTEM_DESTINATION	Konum
HUNTING_SYSTEM_EXP	Deneyim
HUNTING_SYSTEM_EXP_TEXT	%d%% - %d%%
HUNTING_SYSTEM_INFO	Bilgi
HUNTING_SYSTEM_INFO_OVER_LEVEL	Bir sonraki görevi baþlatmak için en az %d seviye olmalýsýn.
HUNTING_SYSTEM_INFO_COMPLETE_ALL	Tüm görevleri tamamladýn!
HUNTING_SYSTEM_MOB	Yaratýklar
HUNTING_SYSTEM_MONEY	Yang
HUNTING_SYSTEM_MONEY_TEXT	%d - %d
HUNTING_SYSTEM_PROGRESS	Ýlerleme
HUNTING_SYSTEM_RACE_TOOLTIP	Burada gösterilen eþya sýnýfa özel olabilir.
HUNTING_SYSTEM_TITLE	Av Görevi No. %d
HUNTING_SYSTEM_TITLE_INFO	Bilgi
HUNTING_SYSTEM_TITLE_REWARD	Ödül - Av Sözleþmesi %d
HUNTING_SYSTEM_TITLE_REWARD_RACE_ITEM	Sýnýf Eþyasý
HUNTING_SYSTEM_TITLE_REWARD_RANDOM_ITEM	Rastgele Eþya
HUNTING_SYSTEM_TITLE_REWARD_MONEY_EXP	Yang ve Deneyim
HUNTING_SYSTEM_TITLE_SELECT	Seçim - Av Görevi No. %d
UPGRADE	Pencereyi açýk tut
UPGRADE_STORAGE_TITLE	Panel
RANKING_TITLE	Ödül Bilgisi
RANKING_RANK	Pozisyon
RANKING_NAME	Ýsim
RANKING_POINTS	Ýstatistikler
RANKING_CAT0	Kazanýlan Düellolar
RANKING_CAT1	Kaybedilen Düellolar
RANKING_CAT2	Savaþta Öldürülen
RANKING_CAT3	Verilen Hasar vs Oyuncu 
RANKING_CAT4	Beceri Hasarý vs Oyuncu 
RANKING_CAT5	Kýrýlam Metin
RANKING_CAT6	Öldürülen Canavar
RANKING_CAT7	Öldürülen Patron
RANKING_CAT8	Verilen Hasar vs Patron
RANKING_CAT9	Beceri hasarý vs Patron
RANKING_CAT10	Toplanan Yang
RANKING_CAT11	Gaya
RANKING_CAT12	Kullanýlan Efsun Nesnesi
RANKING_CAT13	Kullanýlan Týlsým Efsunu
RANKING_CAT14	Yakalanan Balýk
RANKING_CAT15	Oyun Süresi (dk.)
RANKING_CAT16	Tamamlanan Zindan
RANKING_CAT17	Açýlan Sandýk
SUB_TEXT_1	Durum: Etkinleþtirildi: {}
SUB_TEXT_2	Durum: Devre dýþý býrakýldý
SUB_TEXT_3	Avantajlar
SUB_TEXT_4	Metins taþlarýna karþý güçlü +%8
SUB_TEXT_5	Patronlara karþý güçlü +%8
SUB_TEXT_6	Canavarlara karþý güçlü +8%
SUB_TEXT_7	Kuyruða 5 metin ekleyebilirsiniz.
V4B_INFO	Bir bonus seçmek için oy kullanmalýsýnýz.
V4B_BONUS_1	+10% Canavar
V4B_BONUS_2	+20% EXP
V4B_BONUS_3	+20% YANG
V4B_CHOOSE	Bonus seç
V4B_WEBSITE	Oy vermek için web sitemizi ziyaret edin!
V4B_BONUS_1_PVP	+10% Yarý insanlara karþý güçlü
V4B_CAN_VOTE_NOW	Þimdi oy verebilirsiniz.
NAME_REINFORCE_1	Ona isim vermek istediðinden emin misin?{}?
NAME_REINFORCE_TITLE	Ýsim
NAME_REINFORCE_WARNING	Bu isim kalýcý olacaktýr.
NAME_REINFORCE_MORE	Ýsim 4 veya daha fazla karakterden oluþmalýdýr.
CZ_REWARD_WINDOW_TITLE	Zodyak Tapýnaðý
SUNGHAHEE_TOWER_CLEAR	Baþardýn
SUNGMAHEE_GATE_ACHIEV_COUNT	Kupa sayýsý
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_GET_REWARD	Ödül al
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_REWARD_LIST	Ödül listesi
SUNGMAHEE_GATE_TITLE	SungMa Ýstila Portalý
SUNGMAHEE_GATE_TITLE_ACHIEV	Kupalar
SUNGMAHEE_GATE_TITLE_REWARD	Kupa ödülü
SUNGMAHEE_TOWER_DUNGEON_ENTER_QUESTION	%d. kata girmek istiyor musun?
SUNGMAHEE_TOWER_DUNGEON_EXIT_QUESTION	Meydan okumayý iptal etmek istiyor musun?
SUNGMAHEE_TOWER_ELEMENT_ALL	Tümü
SUNGMAHEE_TOWER_ELEMENT_DARK	Karanlýk
SUNGMAHEE_TOWER_ELEMENT_EARTH	Dünya
SUNGMAHEE_TOWER_ELEMENT_ELEC	Þimþek
SUNGMAHEE_TOWER_ELEMENT_FIRE	Ateþ
SUNGMAHEE_TOWER_ELEMENT_ICE	Buz
SUNGMAHEE_TOWER_ELEMENT_TITLE	Kattaki elementler
SUNGMAHEE_TOWER_ELEMENT_WIND	Rüzgar
SUNGMAHEE_TOWER_ENTER_BUTTON	Gir
SUNGMAHEE_TOWER_ENTER_TITLE	Sung Mahi'nin Cehennem Kulesi
SUNGMAHEE_TOWER_EXIT_BUTTON	Çýk
SUNGMAHEE_TOWER_INFO_BOARD_FLOOR	K%d
SUNGMAHEE_TOWER_MISSION_TYPE_ALL_KILL_MOB_PAUSE_SPECIAL	Tüm canavarlarý ve þeytan taþlarýný alt et!
SUNGMAHEE_TOWER_MISSION_TYPE_BOSS	Tüm canavarlarý öldür!
SUNGMAHEE_TOWER_MISSION_TYPE_CHESS_FAIL	Tüm canavarlarý öldür!
SUNGMAHEE_TOWER_MISSION_TYPE_COMPLETE	Görev tamamlandý
SUNGMAHEE_TOWER_MISSION_TYPE_CORRECT_ITEM_USE	Anahtarý bul ve kaç!
SUNGMAHEE_TOWER_MISSION_TYPE_DEBUFF_RELEASE	Tüm canavarlarý öldür!
SUNGMAHEE_TOWER_MISSION_TYPE_FINDING_RIGHT_MATCH_METIN_STONE	Lanetli Metini imha et!
SUNGMAHEE_TOWER_MISSION_TYPE_FINDING_RIGHT_MATCH_METIN_STONE_FAIL	Tüm canavarlarý öldür!
SUNGMAHEE_TOWER_MISSION_TYPE_MONSTER_CHESS	Birbirine ait olmayan bir canavar çiftini öldür!
SUNGMAHEE_TOWER_MISSION_TYPE_NORMAL	Tüm canavarlarý öldür!
SUNGMAHEE_TOWER_MISSION_TYPE_SEAL_RELEASE	Mühür taþlý mührü kýr!
SUNGMAHEE_TOWER_MISSION_TYPE_STAIRS	Bir sonraki kata giden basamaklarý týrman!
SUNGMAHEE_TOWER_MISSION_TYPE_SURVIVE	Tüm saldýrýlarý savuþtur!
SUNGMAHEE_TOWER_MY_RANK_TITLE	Rütbe
SUNGMAHEE_TOWER_REWARD_INFO_TITLE	Ödüller
RANK_TITLE	Global Sýralama
QUEST_UI_TEXT_COLLECTION	Biyolog Görevleri
QUEST_UI_TEXT_DAILY	Günlük Görevler
QUEST_UI_TEXT_EVENT	Etkinlik Görevleri
QUEST_UI_TEXT_LEVELUP	Av Görevleri
QUEST_UI_TEXT_MAIN	Ana Görevler
QUEST_UI_TEXT_SCROLL	Görev Kitaplarý Görevleri
QUEST_UI_TEXT_SUB	Yan Görevler
QUEST_UI_TEXT_SYSTEM	Oyun Görevleri
CHARACTER_BONUS_TABLE	Bonus Tablosu
CHARACTER_KILL_STATS	Öldürme Ýstatistikleri
RESP_TITLE	Patron & Metin Takip Sistemi
RESP_MOB_HEADER	Patron’lar / Metinler
RESP_ERROR_TEXT	Veri bulunamadý
RESP_MINIMAP_BOSS	Kalan Patron’lar
RESP_MINIMAP_METIN	Kalan Metinler
COLLECTION_PERCENT_UP_BUTTON_TOOLTIP	Yüzdeyi Artýr
COLLECTION_WINDOW_TITLE	Koleksiyon |cfffeff7d|H|h(Bonus)|h|r Atölyesi
COLLECTIONS_CATEGORIES_TTILE	Kategoriler
COLLECTIONS_INFORMATIONS_TTILE	Bilgiler
BUTTON_1	Efsun Botu
BUTTON_2	Savaþ Bileti
BUTTON_3	Zindan Bilgisi
BUTTON_4	Iþýnlanma Paneli
BUTTON_5	Ticaret Aynasý
BUTTON_6	Bonus Atölyesi
BUTTON_7	Patron/Metin Takibi
BUTTON_8	Görev Paneli
BUTTON_9	Yardýmcý Envanter
BUTTON_10	Otomatik Av
BUTTON_11	Otomatik Sat
BUTTON_12	Evcil Pet
BUTTON_13	Ticaret Aynasý
BUTTON_14	Global Sýralama
BUTTON_15	Çevrimdýþý Pazar
BUTTON_16	Ýksir Paneli
BUTTON_17	Wikipedia
BUTTON_18	Av Görevleri
BUTTON_19	Biyolog Araþtýrmasý
SPEED_BUTTON_TITLE	Hýzlý Eriþim Penceresi (F5)
LOG_SPEED_BUTTON_TITLE	Ticaret Geçmiþ
EVENT_TITLE_BOARD	Etkinlik genel görünümü
EVENT_FOOTBALL_TEXT	Futbol Topu Etkinliði
EVENT_AYISIGI_TEXT	Ayýþýðý Etkinliði
EVENT_OKEYCARD_TEXT	Okey Kart Etkinliði
EVENT_FISH_TEXT	Balýkçýlýk Etkinliði
EVENT_ATTENDANCE_TEXT	Cavanar Avý Etkinliði
EVENT_CATCHKING_TEXT	Kralý Yakala Etkinliði
EVENT_WORD_TEXT	Kelime Taþý Etkinliði
EVENT_HALLOWEEN_TEXT	Balkabaðý Etkinliði
EVENT_RITUELSOUL_TEXT	Kan Ritüeli Etkinliði
EVENT_EASTER_TEXT	Paskalya Etkinliði
EVENT_STONEKILL_TEXT	Metin Taþý Etkinliði
EVENT_XMAS_TEXT	Yýlbaþý Etkinliði
EVENT_RAMADAN_TEXT	Ramazan Etkinliði
EVENT_CHEQUEDESK_TEXT	Won Masasý Etkinliði
GAME_EVENTS_INFORMATION_1	Bütün Canavarlardan Elde Edebilirsin.
GAME_EVENTS_INFORMATION_2	Seviye Farký: -10 / +10
GAME_EVENTS_INFORMATION_3	Seviye limiti yok.
GAME_EVENTS_INFORMATION_4	M-E-T-I-N-2 harflerini topla ve Uriel'e götür.
GAME_EVENTS_INFORMATION_5	Kan Ritüel'ine git ve Çarký çevir.
GAME_EVENTS_INFORMATION_6	Yumurtalarý elde et ve Paskalya Tavþaný'na götür.
GAME_EVENTS_INFORMATION_7	Puanlarý topla, ödül Posta Kutusu'na gönderilir.
GAME_EVENTS_INFORMATION_8	Yanýnda Ren Geyiði Yavrusu var iken þansýn artar.
GAME_EVENTS_INFORMATION_9	Ramazan Ayý Boyunca Devam Eder.
GAME_EVENTS_INFORMATION_10	Tarihçiden bereket meyvesi alarak
GAME_EVENTS_INFORMATION_11	Hilal Yüzüðü gibi eþsiz nesneler kazanabilirsin.
GAME_EVENTS_INFORMATION_12	20 Adet Futbol Topu'nu Yu-Hwan'a götür.
GAME_EVENTS_INFORMATION_13	Seviye Farký: -20 / +20
GAME_EVENTS_INFORMATION_14	Bütün Metin Taþlarýndan Elde Edebilirsin.
GAME_EVENTS_INFORMATION_15	Bütün Paskalya Metinlerinden Elde Edebilirsin.
GAME_EVENTS_INFORMATION_16	Köylerde Won Masasý'ný bulabilirsin.
GAME_EVENTS_INFORMATION_17	Nesneler tükenmeden elini çabuk tut.
GAME_EVENTS_INFORMATION_18	Eþsiz nesneleri won ile satýn alabilirsin.
GAME_EVENTS_INFORMATION_19	Gerekli nesneyi Jack Pumpkin'den elde et.
GAME_EVENTS_INFORMATION_20	Daha sonra etkinliði açabilirsin.
ROULETTE_SPECIAL_TITLE	Ödüller (%s)
ROULETTE_SPIN_TEXT1	ÇEVÝR
ROULETTE_SPIN_TEXT2	50 Ruh
ROULETTE_SPIN_TEXT3	250.000 Yang
ROULETTE_TITLE	Ödüller
BIYOLOG_TITLE	Biyolog Görevi
BIYOLOG_STATE	Verilebilir
BIYOLOG_BONUSES	Bonuslar
BIYOLOG_BUTTON_01	Ver
BIYOLOG_BUTTON_02	Toplu Ver
BIYOLOG_BUTTON_03	Ruh Taþý Ver
BIYOLOG_BUTTON_04	Görevi Bitir
BATTLEPASS_REWARD_GET	Tüm Görevleri Bitirdikten Sonra Alacaðýn Ödül
BATTLEPASS_MISSION_PROGRESS	Kalan Görev Durumu
BATTLEPASS_MISSION_INFO	Görev Bilgileri
BATTLEPASS_STATUS	Görev Durumu
BATTLEPASS_SELECT_MISSION	Görev seçiniz
BATTLEPASS_TITLE	Savaþ Bileti
BATTLEPASS_TITLE_PREMIUM	Premium Savaþ Bileti
BATTLE_PASS_MISSION_NAME	
BATTLE_PASS_PROGRESS	Ýlerleme: 
BATTLE_PASS_LOADING	|cffff0000Devam Ediyor.|r
BATTLE_PASSFINISHED	|cff82ff7dBitti|r
BATTLEPASS_QUEST_TYPE_36	Reborn Seviyesini Yükselt
BATTLEPASS_QUEST_TYPE_35	Þampiyon Seviyesini Yükselt
BATTLEPASS_QUEST_TYPE_34	Sandýk Aç
BATTLEPASS_QUEST_TYPE_33	Küpte Eþya Craftla
BATTLEPASS_QUEST_TYPE_32	Balýk Tut
BATTLEPASS_QUEST_TYPE_31	Þehirde Pazar Kur
BATTLEPASS_QUEST_TYPE_30	(Alan)Kral Voba Öldür
BATTLEPASS_QUEST_TYPE_29	(Alan)Alev Kral Öldür
BATTLEPASS_QUEST_TYPE_28	(Alan)Kraliçe Örümcek Öldür
BATTLEPASS_QUEST_TYPE_27	(Alan)Dev Çöl Kaplumbaðasý Öldür
BATTLEPASS_QUEST_TYPE_26	(Alan)Dokuz Kuyruk Öldür
BATTLEPASS_QUEST_TYPE_25	(Alan)Sarý Kaplan Hayaleti Öldür
BATTLEPASS_QUEST_TYPE_24	(Alan)Ork Reisi Öldür
BATTLEPASS_QUEST_TYPE_23	Ateþ Ýmparatoru Öldür
BATTLEPASS_QUEST_TYPE_22	Buz Ýmparatoru Öldür
BATTLEPASS_QUEST_TYPE_21	Yüce Wukong Öldür
BATTLEPASS_QUEST_TYPE_20	Jiangshi Ýmparatoru Öldür
BATTLEPASS_QUEST_TYPE_19	Ýmparator Kraken Öldür
BATTLEPASS_QUEST_TYPE_18	Hidra Öldür
BATTLEPASS_QUEST_TYPE_17	Kraliçe Meley Öldür
BATTLEPASS_QUEST_TYPE_16	Jotun Thrym Öldür
BATTLEPASS_QUEST_TYPE_15	Nemere Öldür
BATTLEPASS_QUEST_TYPE_14	Razadör Öldür
BATTLEPASS_QUEST_TYPE_13	Beran-Setaou Öldür
BATTLEPASS_QUEST_TYPE_12	Azrail Öldür
BATTLEPASS_QUEST_TYPE_11	Örümcek Barones Öldür
BATTLEPASS_QUEST_TYPE_10	Maymun Lordu Öldür
BATTLEPASS_QUEST_TYPE_9	Lusifer Öldür
BATTLEPASS_QUEST_TYPE_8	Sohbete Katýl
BATTLEPASS_QUEST_TYPE_7	Petini Geliþtir
BATTLEPASS_QUEST_TYPE_6	Eþyalarýný Yükselt
BATTLEPASS_QUEST_TYPE_5	Metin Taþlarýný Yok Et
BATTLEPASS_QUEST_TYPE_4	Patronlarý Yok Et
BATTLEPASS_QUEST_TYPE_3	Seviyeni 175'e Yükselt
BATTLEPASS_QUEST_TYPE_2	Seviyeni 250'e Yükselt
BATTLEPASS_QUEST_TYPE_1	Seviyeni Yükselt
RANKING_TITLE	Global Sýralama
RANKING_RANK	Konum
RANKING_NAME	Ýsim
RANKING_POINTS	Ýstatistikler
RANKING_CAT0	Düello Galibiyet
RANKING_CAT1	Düello Maðlubiyet
RANKING_CAT2	Lonca Savaþý
RANKING_CAT3	Maks. Düz Hasar (PvP)
RANKING_CAT4	Maks. Beceri Hasarý (PvP)
RANKING_CAT5	Kýrýlan Metin
RANKING_CAT6	Öldürülen Yaratýk
RANKING_CAT7	Öldürülen Patron
RANKING_CAT8	Maks. Düz Hasar (Boss)
RANKING_CAT9	Maks. Beceri Hasarý (Boss)
RANKING_CAT10	Yükseltilen Eþya
RANKING_CAT11	Üretilen Eþya
RANKING_CAT12	Kullanýlan Efsun
RANKING_CAT13	Kullanýlan 6-7 Efsun
RANKING_CAT14	Tutulan Balýk
RANKING_CAT15	Oyun Süresi
RANKING_CAT16	Tamamlanan Zindan
RANKING_CAT17	Açýlan Sandýk
RANKING_CAT18	Maks. Metin Hasarý
DETAILS_ISTAISTIK	Ýstatistik
TITLE_SYSTEM_UI_BUTTON_APPLY	Ünvan kuþan
TITLE_SYSTEM_UI_BUTTON_CLEAR	Çýkar
TITLE_SYSTEM_UI_CURRENT_TITLE	Donatýlan ünvan
TITLE_SYSTEM_UI_TITLE_LIST	Tüm ünvanlar
TITLE_SYSTEM_UI_WINDOW_NAME	Ünvan
