ACCE_ABSORB_CHANCE	Emiþ oraný: %d%%
SELECT_CAN_NOT_DELETE_LIMITE_LEVEL	Karakterini maksimum seviye 119'a kadar silebilirsin.
SELECT_CAN_NOT_DELETE_MARRIAGE	Evli bir karakteri silemezsin.
SELECT_CAN_NOT_DELETE_PREMIUM_PRIVATE_SHOP	Kiþisel dükkanýnda hâlâ eþyalar var.
SELECT_CAN_NOT_DELETE_PRIVATE_CODE_ERROR	Silme kodu yanlýþ.
SELECT_CAN_NOT_DELETE_REMAIN_TIME	Bu karakteri oluþturduktan hemen sonra silemezsin. Bekleme süresi: %s
SELECT_CHANGED_NAME	Karakterin adýný deðiþtirdin
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	Bu karakter adý kullanýlýyor
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Tekrar dene.
SELECT_CHANGE_FAILURE_STRANGE_NAME	Bu karakter adý yanlýþ.
SELECT_CHANGE_NAME_TITLE	Karakter adýný deðiþtir
SELECT_DELEING	Silme iþlemi baþlatýlýyor...
SELECT_DELETED	Baþarýyla silindi.
SELECT_DO_YOU_DELETE_REALLY	Devam etmek istiyor musun?
SELECT_EMPTY_SLOT	Bu boþ bir alan.
SELECT_GM_NAME	GM
SELECT_INPUT_CHANGING_NAME	Yeni karakter adý gir.
SELECT_METINSTONE_NOT_ENOUGH_INVENTORY_SPACE	Envanterde yeterli boþluk yok.
SELECT_NOT_JOIN_GUILD	Lonca yok
SELECT_REWARD_BOX_CANT_MOVE_ITEM	Bir eþya seçerken eþya taþýyamazsýn.
SELECT_REWARD_BOX_CANT_USE_ITEM	Bir eþya seçerken bunu kullanamazsýn.
SELECT_REWARD_BOX_CANT_USE_OTHER_WINDOW	Bir eþya seçerken lonca deposuna eriþemez veya ticaret yapamazsýn.
SELECT_REWARD_BOX_CANT_USE_POLYMORPHING	Dönüþmüþ halde eþya seçemezsin.
SELECT_REWARD_BOX_NEED_INVENTORY_SPACE_1	Kutuyu açmak için envanterde yeterli alan yok.
SELECT_REWARD_BOX_NEED_INVENTORY_SPACE_2	Eþyayý kabul etmek için envanterde yeterli alan yok.
SELECT_REWARD_BOX_SELECT_ITEM_FIRST	Ödül olarak almak istediðin bir eþya seçmelisin.
SELECT_REWARD_BOX_USE_AFTER_TIME_LIMIT	Lütfen daha sonra tekrar dene.
SELL_PRICE_INFO	[Satýþ Fiyatý]
SELL_PRICE_INFO_PCS	Fiyat: %s
SELL_PRICE_INFO_ALL	Toplam: %s
SERVER_NOTIFY_CLOSED	Kapalý sunucu: Sadece kapatmadan önce oluþturulan hesaplar buraya girebilir.
SERVER_STATUS_CLOSE	KAPALI
SERVER_STATUS_NEW	YENÝ
SERVER_STATUS_SPECIAL	ÖZEL
SERVER_STATUS_STANDBY	KAPALI
SET_ITEM_CLEAR_CONFIRM_QUESTION	Set etkisini kaldýrmak istiyor musun?
SET_ITEM_CLEAR_CONFIRM_QUESTION_1	Bu eþyanýn %d bonusu/zihin taþý var.
SET_ITEM_CLEAR_CONFIRM_QUESTION_2	Emin misin?
SET_ITEM_DO_NOT_EQUIP_ITEM	Kuþanýlan eþyalara set etkileri veremezsin.
SET_ITEM_DO_NOT_SEAL_ITEM	Bunu ruha baðlý bir eþyayla yapamazsýn.
SHIP_MAST	Direk
SHOP_ALREADY_HAVE_ONE_ITEM	Bu türden yalnýzca bir eþyaya sahip olabilirsiniz.
SHOP_BUY_INFO	Market penceresinden satýn almak istediðin nesneyi seç.
SHOP_CANNOT_SELL_EQUIPMENT	Kullanýlmakta olan nesneleri satamazsýn.
SHOP_CANNOT_SELL_ITEM	Bu eþya satýlamaz.
SHOP_ERROR_UNKNOWN	Bilinmeyen market hatasý: %s
SHOP_EXCEED_LIMIT_TODAY	Günlük puan kullanýmý limitini aþtýn.
SHOP_INVALID_POS	Bu eþya burada kullanýlamaz.
SHOP_INVENTORY_FULL	Envanterde boþ alan yok.
SHOP_LIMITED_DATA_LOADING	Veriler þu anda yükleniyor. Daha sonra tekrar dene.
SHOP_LIMITED_ITEM_REMAIN_COUNT	Kalan nesneler: %d
SHOP_LIMITED_PURCHASE_OVER	Tükendi
SHOP_LIMIT_TODAY	Günlük limit: %d/%d
SHOP_MY_BATTLE_POINT	Savaþ Puaný: %d
SHOP_MY_MEDAL_OF_HONOR	Onur madalyasý: %d
SHOP_MY_TREE_FRUIT	Acý dutlar: %d
SHOP_MY_YELLOW_FRUIT	Altýn dutlar: %d
SHOP_NOT_ENOUGH_10TH_COIN	Yeterince yýl dönümü parasýna sahip deðilsin.
SHOP_NOT_ENOUGH_BATTLE_POINT	Savaþ puanýn yetersiz.
SHOP_NOT_ENOUGH_BNW	Yeterli Kahin Jetonuna sahip deðilsin.
SHOP_NOT_ENOUGH_GUILD_LEVEL	Lonca seviyesi çok düþük.
SHOP_NOT_ENOUGH_MEDAL_OF_HONOR	Yetersiz onur madalyasý.
SHOP_NOT_ENOUGH_MONEY	Yeterli Won veya Yang yok
SHOP_NOT_ENOUGH_MONEY_EX	Yeterli Yang'a sahip deðilsin.
SHOP_SEARCH_TITLE	Nesne Arama
SEARCH_TITLE	Ticaret Aynasý
SHOP_NOT_ENOUGH_COINS	Yeterli Ejderha Paranýz yok.
SHOP_NOT_ENOUGH_EXP	Yeterli Deneyiminiz yok.
SHOP_NOT_ENOUGH_ITEM	Yeterli Eþyanýz yok.
SHOP_NOT_ENOUGH_MONEY	Yeterli EP veya Yang yok
SHOP_SELL_INFO	Envanter penceresinden satmak istediðin nesneyi seç.
SHOP_SOLDOUT	Satýldý
SHOT_ERROR_UNKNOWN	Uzaktan saldýrý esnasýnda belirsiz hata: %s
SKILL_BLEEDING	Kanama
SKILL_BOHO	Yansýtma
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_BOOK	Bu beceriyi öðrenmek için EXP e ihtiyacýn var.
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_STAT	Bu beceriyi ögrenmek için bir kitaba ihtiyacýn var.
SKILL_CHEONGEUN	Güçlü Beden
SKILL_CHEONUN	Eter Kalkaný
SKILL_CRITICAL	Kritik Vuruþ
SKILL_ENCHANT_POISON	Zehir Uygulama
SKILL_EUNHYEONG	Kamuflaj
SKILL_FAINT	Sersemletme
SKILL_FIND_TRAP	Tuzak Kurma
SKILL_FIRE	Sürekli Ateþ
SKILL_FISHMIND	Balýkçýlýk Küresi etkin
SKILL_GAMJI	Yakalama
SKILL_GEOMGYEONG	Hava Kýlýcý
SKILL_GICHEON	Ejderha Yardýmý
SKILL_GIGONG	Chi Dönüþü
SKILL_GONGPO	Dehþet
SKILL_GRADE_NAME_GRAND_MASTER	%s Grand Master
SKILL_GRADE_NAME_MASTER	%s Master
SKILL_GRADE_NAME_PERFECT_MASTER	%s Perfect Master
SKILL_GROUP_ASSASSIN_1	Býçak
SKILL_GROUP_ASSASSIN_2	Ok
SKILL_GROUP_HORSE	Binicilik
SKILL_GROUP_SHAMAN_1	EjderGücü
SKILL_GROUP_SHAMAN_2	Iyileþtirme
SKILL_GROUP_SURA_1	Silah
SKILL_GROUP_SURA_2	Kara Büyü
SKILL_GROUP_WARRIOR_1	Bedensel
SKILL_GROUP_WARRIOR_2	Zihinsel
SKILL_GWIGEOM	Büyülü Silah
SKILL_GYEONGGONG	Hafif Adým
SKILL_HEUKSIN	Karanlýk Koruma
SKILL_HOSIN	Kutsama
SKILL_INC_ATKSPD	Saldýrý hýzý arttýrýldý
SKILL_INC_MOVSPD	Hareket hýzý arttýrýldý
SKILL_JEOJU	Lanet
SKILL_JEONGEOP	Ýyileþtirme
SKILL_JEONGWI	Öfke
SKILL_JEONSINBANGEO	Maksimum Defans
SKILL_JEONSINGONGGYEOK	Maksimum Saldýrý
SKILL_JEUNGRYEOK	Atak +
SKILL_JEUNGSOK	Hýz +
SKILL_JUMAGAP	Büyülü Zýrh
SKILL_KWAESOK	Hýz
SKILL_MUYEONG	Ateþ Hayaleti
SKILL_NEED_EMPTY_BOTTLE	Boþ þiþem yok.
SKILL_NEED_POISON_BOTTLE	Zehir þiþem yok.
SKILL_ONLY_FOR_GUILD_CONTENTS	Lonca becerileri yalnýzca lonca içeriðinde kullanýlabilir.
SKILL_ONLY_FOR_GUILD_WAR	Bu beceriyi sadece Lonca Savaþý sýrasýnda kullanabilirsin.
SKILL_PABEOP	Büyü Çözme
SKILL_POWERFUL_STRIKE	Sersemletici Saldýrý
SKILL_SEOMGWANG	Þimþek Bombasý
SKILL_SLEEP	Uyku
SKILL_SLOW	Yavaþ
SKILL_STUN	Sersemletme
SKILL_SUHO	Koruma
SKILL_SUMMON_DESCRIPTION	Çaðýrma þansý: %%%d
SKILL_TOOLTIP_INT	Zeka
SKILL_TOOLTIP_LEVEL	Seviye
SKILL_TOXICDIE	Zehirleme
SKILL_TOXICPOWER	Zehirleme saldýrýsý yükseltildi.
SKILL_TUSOK	Hayalet Vuruþ
SNOWFLAKE_STICK_EVENT_MESSAGE_ADD_SNOW_BALL	1 kartopu aldýn.
SNOWFLAKE_STICK_EVENT_MESSAGE_ADD_TREE_BRANCH	1 kardan adam dalý aldýn.
SNOWFLAKE_STICK_EVENT_MESSAGE_CANNOT_USE_STICK_COOLTIME	Lütfen %d dakika sonra tekrar dene.
SNOWFLAKE_STICK_EVENT_MESSAGE_EVENT_END	Kar Tanesi Etkinliði sona erdi.
SNOWFLAKE_STICK_EVENT_MESSAGE_EVENT_START	Kar Tanesi Etkinliði baþladý!
SNOWFLAKE_STICK_EVENT_MESSAGE_EXCHANGE_COOLTIME	Lütfen daha sonra tekrar dene.
SNOWFLAKE_STICK_EVENT_MESSAGE_EXCHANGE_EVENT_DURATION_EXPIRED	Etkinlik sona erdiði için artýk bunu yapamazsýn.
SNOWFLAKE_STICK_EVENT_MESSAGE_EXCHANGE_MOUNT_MAX	Bunu artýk takas edemezsin.
SNOWFLAKE_STICK_EVENT_MESSAGE_EXCHANGE_MOUNT_NOT_ENOUGH_MATERIAL	Daha 15 kar tanesi deðneðine ihtiyacýn var.
SNOWFLAKE_STICK_EVENT_MESSAGE_EXCHANGE_NOT_ENOUGH_INVENTORY	Envanterinde yeterli alan yok.
SNOWFLAKE_STICK_EVENT_MESSAGE_EXCHANGE_PET_MAX	Bunu artýk takas edemezsin.
SNOWFLAKE_STICK_EVENT_MESSAGE_EXCHANGE_PET_NOT_ENOUGH_MATERIAL	Daha 15 kar tanesi deðneðine ihtiyacýn var.
SNOWFLAKE_STICK_EVENT_MESSAGE_EXCHANGE_STICK_MAX	Takas mümkün deðil. Tekrar takas edebilirsin:
SNOWFLAKE_STICK_EVENT_MESSAGE_EXCHANGE_STICK_NOT_ENOUGH_MATERIAL	Yeterli kartopu veya kardan adam dalýna sahip deðilsin.
SNOWFLAKE_STICK_EVENT_MESSAGE_NOT_ENOUGH_LEVEL	Sadece 60. seviye üstündeki karakterler katýlabilir.
SNOWFLAKE_STICK_EVENT_MESSAGE_RANK_BUFF_GET	Kar Tanesi Etkinliði: %s buffý kazandýn.
SNOWFLAKE_STICK_EVENT_MESSAGE_SNOWFLAKE_BUFF_GET	Kar Tanesi Etkinliði: Kar tanesi sihri kazandýn.
SNOWFLAKE_STICK_EVENT_MESSAGE_SNOW_BALL_MAX	Daha fazla kartopuna sahip olamazsýn.
SNOWFLAKE_STICK_EVENT_MESSAGE_TREE_BRANCH_MAX	Daha fazla kardan adam dalýna sahip olamazsýn.
SNOWFLAKE_STICK_EVENT_MESSAGE_USE_STICK_FAILED_1	Koþullar (Zindan, etkinlik haritasý, canavar seviyesi uygun deðil, etrafta canavar yok)
SNOWFLAKE_STICK_EVENT_MESSAGE_USE_STICK_FAILED_2	dönüþüm için uygun deðil.
SNOWFLAKE_STICK_EVENT_RANK_BUFF_TYPE_STONE	Metin taþý
SOLO_RK_CATEGORY_BATTLE_ROYALE	Battle Royale
SOLO_RK_CATEGORY_BATTLE_ROYALE_RECORD_0	Galibiyetler
SOLO_RK_CATEGORY_GUILD_BATTLE	Lonca Savaþý
SOLO_RK_CATEGORY_GUILD_BATTLE_MOB_KILL	MOB devirmeleri
SOLO_RK_CATEGORY_GUILD_BATTLE_PC_DEAD	OK ölümleri
SOLO_RK_CATEGORY_GUILD_BATTLE_PC_KILL	OK devirmeleri
SOLO_RK_CATEGORY_GUILD_BATTLE_TEAM	Takým
SOLO_RK_CATEGORY_TREASURE_HUNT	Hazine avý sýralamasý
SOLO_RK_CATEGORY_TREASURE_HUNT_RECORD_0	Turlar
SOUL_ITEM_TOOLTIP_APPLY	Efekt etkinleþtirildi
SOUL_ITEM_TOOLTIP_BLUE1	Oyun süresi: %d/%d dak. 
SOUL_ITEM_TOOLTIP_BLUE2	Oyun süresine ulaþýldýðýnda, beceri hasarý x%.1f artar
SOUL_ITEM_TOOLTIP_COMMON	Þunlarda geçerli deðildir: PvP, dönüþüm
SOUL_ITEM_TOOLTIP_RED1	Oyun süresi: %d/%d dak. 
SOUL_ITEM_TOOLTIP_RED2	Oyun süresine ulaþýldýðýnda, saldýrý hasarý x%.1f artar
SOUL_ITEM_TOOLTIP_REMAIN_COUNT	Kalan saldýrýlar: %d
SOUL_ITEM_TOOLTIP_REMOVE_TIME	Ruhun silinmesine kalan
SOUL_ITEM_TOOLTIP_UNAPPLIED	Efekt etkinleþtirilmedi
SOUL_REFINE_FAILURE	Geliþtirme baþarýsýz oldu.
SOUL_REFINE_SUCCESS	Geliþtirme baþarýlý!
SPORTS_MATCH_EVENT_APPOINT	Onayla
SPORTS_MATCH_EVENT_APPOINT_POPUP_MESSAGE	Þunu seçtin: %s Bu ülkeyi seçmek istiyor musun?
SPORTS_MATCH_EVENT_CHEER	Alkýþ
SPORTS_MATCH_EVENT_CHEER_POPUP_MESSAGE	Þunu seçtin: %s Bu ülkeyi alkýþlamak istiyor musun?
SPORTS_MATCH_EVENT_OFF	Þampiyonluk etkinliði sona erdi.
SPORTS_MATCH_EVENT_ON	Þampiyonluk etkinliði baþladý.
SPORTS_MATCH_EVENT_PREDICT_UI_TITLE	Alkýþ Etkinliði
SPORTS_MATCH_EVENT_REWARD	Ödül al
SPORTS_MATCH_EVENT_SOURCE_ITEM_FLAG_IMG_MESSAGE	8 bilet parçasý topladýðýnda, bunlar bir futbol biletine dönüþür.\nFutbol biletini ödüller ve etkinlik eþyalarýyla takas edebilirsin.
SPORTS_MATCH_EVENT_TIME_END	Etkinlik sona erdiðinde kullanýlamaz.
SPORTS_MATCH_EVENT_WORLDCUP_CHAT_TYPE_APPOINT_ITEM_NOT_ENOUGH	Ülke biletine ihtiyacýn var.
SPORTS_MATCH_EVENT_WORLDCUP_CHAT_TYPE_CHEER_ITEM_NOT_ENOUGH	Alkýþ biletine ihtiyacýn var.
SPORTS_MATCH_EVENT_WORLDCUP_CHAT_TYPE_CHEER_MAX	Artýk alkýþlayamazsýn.
SPORTS_MATCH_EVENT_WORLDCUP_CHAT_TYPE_COOLTIME_NOT_END_MSG	Lütfen daha sonra tekrar dene.
SPORTS_MATCH_EVENT_WORLDCUP_CHAT_TYPE_INVENTORY_FULL_MSG	Envanterde yeterli boþluk yok.
SPORTS_MATCH_EVENT_WORLDCUP_CHAT_TYPE_MIN_LEVEL_MSG	Sadece 60. seviye üstündeki karakterler katýlabilir.
SPORTS_MATCH_EVENT_WORLDCUP_CHAT_TYPE_RESULT_ITEM_FLAG_MAX	Daha fazla etkinlik eþyasý alamazsýn.
SPORTS_MATCH_EVENT_WORLDCUP_CHAT_TYPE_TICKET_ITEM_ADD	Eþya alýndý: %dx Futbol Bileti
SPORTS_MATCH_EVENT_WORLDCUP_CHAT_TYPE_TICKET_ITEM_LACK	Daha %d Futbol Biletine ihtiyacýn var.
SPORTS_MATCH_EVENT_WORLDCUP_CHAT_TYPE_TICKET_PIECE_ITEM_ADD	Eþya alýndý: Bilet Parçasý
SPORTS_MATCH_EXCHANGE_END_TIME	Takas için kalan süre: %s
SPORTS_MATCH_ITEM_FLAG_TICKET_DESC	Bunu ödüller ve etkinlik eþyalarýyla takas edebilirsin.
SPORTS_MATCH_ITEM_FLAG_TICKET_NAME	Futbol Bileti
SPORTS_MATCH_ITEM_FLAG_TICKET_PIECE_NAME	Bilet Parçasý
SPORTS_MATCH_PREDICT_ENABLE_REWARD	Alkýþ Etkinliðinden ödüller alabilirsin. Alkýþ Etkinliðinin penceresini aç.
SPORTS_MATCH_PREDICT_EVENT_OFF	Alkýþ Etkinliði sona erdi.
SPORTS_MATCH_PREDICT_GET_REWARD	Ödül alýndý: Gaya Spor Çantasý Dahil edilen Gaya miktarý, takýmý ne kadar alkýþladýðýna baðlýdýr.
SPORTS_MATCH_TICKET_COUNT_NOT_ENOUGH	Yeterli futbol biletin yok.
SPORTS_MATCH_UI_ITEM_EXCHANGE_BUTTON	Takas.
SPORTS_MATCH_UI_ITEM_FLAG_COUNT	Mevut miktar
SPORTS_MATCH_UI_ITEM_FLAG_EXCHANGE_LIST	Takas listesi
SPORTS_MATCH_UI_ITEM_USE_BUTTON	Bozdur
SPORTS_MATCH_UI_MATCH_PREDICT_BUTTON	ALKIÞ
SPORTS_MATCH_WORLDCUP_EVENT_OFF	Þampiyonluk etkinliði sona erdi.
SPORTS_MATCH_WORLDCUP_EVENT_ON	Þampiyonluk etkinliði baþladý.
SPORTS_MATCH_WORLDCUP_EVENT_UI_TITLE	Þampiyonluk Etkinliði
STAT_MINUS_CON	Canlýlýk Ayarý (Kalan þans: %d)
STAT_MINUS_DEX	Çeviklik Ayarý (Kalan þans: %d)
STAT_MINUS_INT	Zeka Ayarý (Kalan þans: %d)
STAT_MINUS_STR	Güç Ayarý (Kalan þans: %d)
STAT_TOOLTIP_ACTION	Duygu
STAT_TOOLTIP_ATT	Saldýrý deðeri
STAT_TOOLTIP_ADD	+1 statü puaný ekle.
STAT_TOOLTIP_ADD_2	+10 statü puaný ekle.
STAT_TOOLTIP_BONUS	Karakter Bonusu
STAT_TOOLTIP_ATT_SPEED	Saldýrý hýzý
STAT_TOOLTIP_BASE_LEVEL	Seviye
STAT_TOOLTIP_CAST_SPEED	Büyü hýzý
STAT_TOOLTIP_CON	HP ve Savunma'yý arttýrýyor
STAT_TOOLTIP_CON_QUICK	Hýzlý Statü | HP ve Savunma	
STAT_TOOLTIP_CONQUEROR_LEVEL	Þampiyon seviyesi
STAT_TOOLTIP_DEF	Savunma
STAT_TOOLTIP_DEX	Saldýrý ve Savuþturma'yý arttýryor
STAT_TOOLTIP_DEX_QUICK	Hýzlý Statü | Saldýrý ve Savuþturma	
STAT_TOOLTIP_DODGE_PER	Oklarý savuþturma þansý
STAT_TOOLTIP_EXP	EXP
STAT_TOOLTIP_HP	HP
STAT_TOOLTIP_IMG_CNVRSAV	Canavara karþý savunmayý artýrýr
STAT_TOOLTIP_IMG_STONE	Metine karþý saldýrýyý artýrýr
STAT_TOOLTIP_IMG_BOSS	Patronlara karþý saldýrýyý artýrýr
STAT_TOOLTIP_IMG_PVMORT	Pvm Ortalama Hasarý artýrýr
STAT_TOOLTIP_IMG_CON	VIT: HP ve savunmayý artýrýr
STAT_TOOLTIP_IMG_DEX	DEX: Saldýrý ve savuþturmayý artýrýr
STAT_TOOLTIP_IMG_INT	INT: SP, büyülü saldýrý ve savunmayý artýrýr.
STAT_TOOLTIP_IMG_STR	STR: Saldýrý deðeri ve hasarý artýrýr
STAT_TOOLTIP_INT	SP, Büyülü Saldýrý ve Savunma'yý artýrýyor
STAT_TOOLTIP_INT_QUICK	Hýzlý Statü | SP, Büyülü Saldýrý ve Savunma	
STAT_TOOLTIP_LEVEL	Seviye
STAT_TOOLTIP_IMG_HEL	HP
STAT_TOOLTIP_IMG_SP	SP
STAT_TOOLTIP_IMG_ATT	Saldýrý Deðeri
STAT_TOOLTIP_IMG_DEF	Savunma
STAT_TOOLTIP_MAG_ATT	Büyülü saldýrý deðeri
STAT_TOOLTIP_MAG_DEF	Büyü savunmasý
STAT_TOOLTIP_MOVE_SPEED	Hareket hýzý
STAT_TOOLTIP_MAG_ER	Savunma Kaçýnma
STAT_TOOLTIP_STATS	Ýstatistikler
STAT_TOOLTIP_STATUS	Karakter Durumu
STAT_TOOLTIP_PASSIVE	Kalýntý bonusu
STAT_TOOLTIP_POINT	Puan
STAT_TOOLTIP_REACTION	Tepki
STAT_TOOLTIP_SHP	Yohara'da maksimum HP deðerin daha az kesintiye uðrar.
STAT_TOOLTIP_SIMMUNE	Yohara'da durum deðiþikliklerine karþý direnç deðerin daha az kesintiye uðrar.
STAT_TOOLTIP_SMOVE	Yohara'da hareket hýzýn daha az kesintiye uðrar.
STAT_TOOLTIP_SP	SP
STAT_TOOLTIP_SPECIAL_ACTION	Özel hareketler
STAT_TOOLTIP_SSTR	Yohara'da saldýrý deðerin daha az hasar kesintisine uðrar.
STAT_TOOLTIP_STAT	Deðerler
STAT_TOOLTIP_STR	Saldýrý Deðeri'ni ve Hasarý arttýrýyor
STAT_TOOLTIP_STR_QUICK	Hýzlý Statü | Saldýrý Deðeri'ni ve Hasarý	
STAT_TOOLTIP_SUNGMA_HP	Rakibin SungMa iradesi (VIT) ve haritaya baðlý olarak HP deðerini deðiþtirir
STAT_TOOLTIP_SUNGMA_IMMUNE	Rakibin SungMa iradesi (INT) ve haritaya baðlý olarak durum etkilerine karþý duyarlýlýðý deðiþtirir
STAT_TOOLTIP_SUNGMA_MOVE	Rakibin SungMa iradesi (RES) ve haritaya baðlý olarak hareket hýzýný deðiþtirir
STAT_TOOLTIP_SUNGMA_STR	Rakibin SungMa iradesi (STR) ve haritaya baðlý olarak saldýrýyý deðiþtirir
STAT_TOOLTIP_SUPPORT_SKILL	Ýkincil beceriler
STAT_TOOLTIP_TAB_CHARACTER	Karakter
STAT_TOOLTIP_TAB_EMOTICON	Duygular
STAT_TOOLTIP_TAB_QUEST	Görevler
STAT_TOOLTIP_TAB_SKILL	Beceriler
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_ACHIEV_0	Bu kupa Yongan Bölgesi’ndeki SungMa Ýstila Portalý’nda kazanýlabilir.
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_ACHIEV_1	Bu kupa Joan Bölgesi’ndeki SungMa Ýstila Portalý’nda kazanýlabilir.
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_ACHIEV_2	Bu kupa Pyungmoo Bölgesi’ndeki SungMa Ýstila Portalý’nda kazanýlabilir.
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_ACHIEV_3	Bu kupa Seungryong Vadisi’ndeki SungMa Ýstila Portalý’nda kazanýlabilir.
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_ACHIEV_4	Bu kupa Yongbi Çölü’ndeki SungMa Ýstila Portalý’nda kazanýlabilir.
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_ACHIEV_5	Bu kupa Doyyumhwan (Ateþ Diyarý)’ndaki SungMa Ýstila Portalý’nda kazanýlabilir.
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_ACHIEV_6	Bu kupa Sohan Daðý’ndaki SungMa Ýstila Portalý’nda kazanýlabilir.
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_ACHIEV_7	Bu kupa Þeytan Katakombu’ndaki SungMa Ýstila Portalý’nda kazanýlabilir.
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_ACHIEV_8	Bu kupa Efsunlu Orman’daki SungMa Ýstila Portalý’nda kazanýlabilir.
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_PROBABILITY	Olasýlýk: %d%%
SUNGMAHEE_GATE_ALREADY_OPEN	[SungMa Ýstila Portalý] Bir SungMa Ýstila Portalý açýldý. Acele et ve içeri gir! (%s daha açýk)
SUNGMAHEE_GATE_ALREADY_OPEN_1M	[SungMa Ýstila Portalý] Bir SungMa Ýstila Portalý açýldý. Acele et ve onu imha et! (1 dakikadan daha kýsa açýk)
SUNGMAHEE_GATE_ENTER_COUNT_INFO	Haftalýk giriþler: %d/%d
SUNGMAHEE_GATE_MAP_ELEMENT_DARK	Karanlýk
SUNGMAHEE_GATE_MAP_ELEMENT_EARTH	Toprak
SUNGMAHEE_GATE_MAP_ELEMENT_ELECT	Þimþek
SUNGMAHEE_GATE_MAP_ELEMENT_FIRE	Ateþ
SUNGMAHEE_GATE_MAP_ELEMENT_ICE	Buz
SUNGMAHEE_GATE_MAP_ELEMENT_NONE	Element yok
SUNGMAHEE_GATE_MAP_ELEMENT_WIND	Rüzgar
SUNGMAHEE_GATE_MESSAGE_CANNOT_OPEN_ACHIEV_CONQUEROR_LEVEL	Bunu açabilmek için bir þampiyon seviyesine eriþmelisin.
SUNGMAHEE_GATE_MESSAGE_CANNOT_OPEN_ACHIEV_IN_BATTLE_ROYALE	Bunu bu bölgede açamazsýn.
SUNGMAHEE_GATE_MESSAGE_DUNGEON_ELEMENT_INFO	Bu bölgenin etkisi altýnda olduðu element: %s
SUNGMAHEE_GATE_MESSAGE_NOTICE_BEFORE_OPEN_1	Yakýnda Dongan Ovasý’nda bir SungMa Ýstila Portalý açýlacak.
SUNGMAHEE_GATE_MESSAGE_NOTICE_BEFORE_OPEN_2	Her krallýðýn mevcut yerlerini görmek için genel görünüm haritasýný açabilirsin.
SUNGMAHEE_GATE_MESSAGE_NOTICE_DUNGEON_END_TIME	Süre doldu ve buradan dýþarý ýþýnlanacaksýn.
SUNGMAHEE_GATE_MESSAGE_NOTICE_DUNGEON_REMAIN_TIME	SungMa Ýstila Portalý’nýn kapanýþýna kalan süre %d dakika.
SUNGMAHEE_GATE_MESSAGE_NOTICE_END	Tüm SungMa Ýstila Portallarý kapanýyor.
SUNGMAHEE_GATE_MESSAGE_NOTICE_ENTRY_CLOSE	SungMa Ýstila Portalý kapandý.
SUNGMAHEE_GATE_MESSAGE_NOTICE_ENTRY_OPEN	Bir SungMa Ýstila Portalý açýldý ve giriþ yapýlabilir durumda. Saat %d:%d'a kadar açýk.
SUNGMAHEE_GATE_MESSAGE_REGION_ACHIEVED_SUCCESS	%s tarafýndan kupaný aldýn!
SUNGMAHEE_GATE_REMAIN_TIME_TO_OPEN	[SungMa Ýstila Portalý] Bir SungMa Ýstila Portalý \n %s dakika içinde açýlacak.
SUNGMAHEE_GATE_REMAIN_TIME_TO_OPEN_1M	[SungMa Ýstila Portalý] Bir SungMa Ýstila Portalý \n 1 dakikadan daha kýsa süre içinde açýlacak.
SUNGMAHEE_TOWER_ENTER_FAIL_FLOOR	Önce bir alt katý tamamlamalýsýn.
SUNGMAHEE_TOWER_ENTER_RESULT_FAIL_MOUNT	Binek hayvanýn üzerindeyken giremezsin.
SUNGMAHEE_TOWER_ENTER_RESULT_FAIL_NOT_ENOUGH_CONQUEROR_LEVEL	Girebilmek için bir þampiyon seviyesine eriþmelisin.
SUNGMAHEE_TOWER_ENTER_RESULT_FAIL_NOT_ENOUGH_ITEM	Girebilmek için bir kafatasý flamasýna ihtiyacýn var.
SUNGMAHEE_TOWER_ENTER_RESULT_FAIL_PARTY	Sung Mahi'nin Cehennem Kulesi'ne bir grupla giremezsin.
SUNGMAHEE_TOWER_ENTER_RESULT_FAIL_POLYMORPH	Dönüþmüþ halde giremezsin.
SUNGMAHEE_TOWER_FLOOR_TEXT	{0}. Kat
SUNGMAHEE_TOWER_MY_RANK_TEXT	Rütbe {0}
SYMBOLLIST_TITLE	Lonca Bayraðý kaydedildi.
SYSTEM_WHISPER	[Anka2]
TARGET_BUTTON_ACCEPT_FIGHT	Anlaþma
TARGET_BUTTON_AVENGE	Ýntikam
TARGET_BUTTON_BLOCK	Engelle
TARGET_BUTTON_BLOCK_REMOVE	Engellemeyi kaldýr
TARGET_BUTTON_BUILDING_DESTROY	Yýkmak
TARGET_BUTTON_DISMOUNT	Ýnmek
TARGET_BUTTON_EMOTION_ALLOW	Duygular
